	PayCoin	PriceCST	TokenCST	PriceAA	TokenAA	Total Value
2020-06-27 16:33:57	7.9873E+21	2.7500E+19	1.6395E+21		0.0000E+00	
2020-06-27 16:42:33	7.9873E+21	2.7640E+19	1.6395E+21		0.0000E+00	
2020-06-27 16:57:11	7.9873E+21	2.9100E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:02:40	7.9873E+21	3.1490E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:09:21	7.9873E+21	3.2590E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:25:45	7.9873E+21	3.1860E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:35:11	7.9873E+21	3.1590E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:44:49	7.9873E+21	3.1670E+19	1.6395E+21		0.0000E+00	
2020-06-27 17:53:30	7.9873E+21	3.1300E+19	1.6395E+21		0.0000E+00	
2020-06-28 09:04:27	7.9873E+21	3.1260E+19	1.6395E+21		0.0000E+00	
2020-06-28 09:13:04	7.9873E+21	3.1220E+19	1.6395E+21		0.0000E+00	
2020-06-28 09:14:28	7.9873E+21	3.2370E+19	1.6395E+21		0.0000E+00	
2020-06-28 09:22:47	7.9873E+21	3.3300E+19	1.6395E+21		0.0000E+00	
2020-06-28 09:37:16	1.0717E+21	3.2690E+19	1.6395E+21	2.0900E+17	3.3089E+21	
2020-06-28 09:45:40	1.0717E+21	3.3480E+19	1.6395E+21		3.3089E+21	
2020-06-28 09:46:49	1.0717E+21	3.3480E+19	1.6395E+21		3.3089E+21	
2020-06-28 09:55:23	1.0717E+21	3.2550E+19	1.6395E+21		3.3089E+21	
2020-06-28 10:00:42	1.0717E+21	3.0720E+19	1.6395E+21		3.3089E+21	
2020-06-28 10:06:10	5.2060E+22	3.1100E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:12:40	5.2060E+22	3.1780E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:18:06	5.2060E+22	3.1240E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:23:38	5.2060E+22	3.1370E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:32:32	5.2060E+22	3.2860E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:42:15	5.2060E+22	3.2820E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:53:40	5.2060E+22	3.1900E+19	0.0000E+00		3.3089E+21	
2020-06-28 10:59:26	5.2060E+22	3.2390E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:15:46	5.2060E+22	3.2340E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:23:36	5.2060E+22	3.1220E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:33:10	5.2060E+22	3.1720E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:38:30	5.2060E+22	3.1980E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:47:55	5.2060E+22	3.1290E+19	0.0000E+00		3.3089E+21	
2020-06-28 11:56:58	5.2060E+22	3.2130E+19	0.0000E+00		3.3089E+21	
2020-06-28 12:03:54	5.2060E+22	3.2240E+19	0.0000E+00		3.3089E+21	
2020-06-28 12:13:04	5.2060E+22	3.2630E+19	0.0000E+00		3.3089E+21	
2020-06-28 12:20:33	5.2060E+22	3.2470E+19	0.0000E+00		3.3089E+21	
2020-06-28 12:27:11	5.2060E+22	3.1930E+19	0.0000E+00		3.3089E+21	
2020-06-28 12:32:54	5.2060E+22	3.0660E+19	0.0000E+00		3.3089E+21	
