	TokenFSS
740	1907900000000000000000
741	1894000000000000000000
742	1900000100000000000000
743	1939346200000000000000
744	1940394000000000000000
745	1933238600000000000000
746	1923872200000000000000
747	1943998900000000000000
748	1936999700000000000000
749	1956870000000000000000
750	1945000000000000000000
751	1949770000000000000000
752	1975000000000000000000
753	1959302700000000000000
754	1963625800000000000000
755	1945546500000000000000
756	1948100000000000000000
757	1951260000000000000000
758	1964980400000000000000
759	1957610100000000000000
760	1957000000000000000000
761	1955000000000000000000
762	1961938999999999900000
763	2022687600000000000000
764	2018000000000000000000
765	2007300000000000000000
766	2010999900000000000000
767	2028000000000000000000
768	2001518600000000000000
769	1992042600000000000000
770	1980137000000000200000
771	1979380200000000000000
772	1974222000000000200000
773	1945000000000000000000
774	1947660000000000000000
775	1961999300000000000000
776	1937189900000000000000
777	1916360000000000000000
778	1970000000000000000000
779	1972000000000000000000
780	1991649900000000000000
781	1994862900000000000000
782	1990010200000000000000
783	2002799800000000000000
784	1996105800000000000000
785	2010100000000000000000
786	2006609700000000000000
787	2013985900000000000000
788	1973002400000000000000
789	1992000000000000000000
790	1992000000000000000000
791	1995225000000000000000
792	1995970100000000000000
793	1976419200000000000000
794	1960500000000000000000
795	1953092900000000000000
796	1961999800000000000000
797	1971599300000000000000
798	1985300000000000000000
799	1990000000000000000000
800	1986000100000000000000
801	1986000000000000000000
802	1985000000000000000000
803	2007500000000000000000
804	1998899300000000000000
805	1990999900000000000000
806	1984999900000000000000
807	1967200000000000000000
808	1965000000000000000000
809	1975000000000000000000
810	1975102600000000000000
811	1971020900000000000000
812	1976153500000000000000
813	1972280000000000000000
814	1962571500000000000000
815	1959352900000000000000
816	1961730000000000000000
817	1955464300000000000000
818	1960000000000000000000
819	1959334600000000000000
820	1926999300000000000000
821	1847500000000000000000
822	1875870000000000000000
823	1847000000000000000000
824	1826000000000000000000
825	1805000000000000000000
826	1762999600000000000000
827	1801100000000000000000
828	1809999200000000000000
829	1825000000000000000000
830	1784000000000000000000
831	1790483400000000000000
832	1777000000000000000000
833	1740000000000000000000
834	1722900000000000000000
835	1770319700000000000000
836	1749000000000000000000
837	1795000000000000000000
838	1813181500000000000000
839	1798764600000000000000
840	1739963600000000000000
841	1743547999999999800000
842	1749210000000000000000
843	1724998400000000000000
844	1705000100000000000000
845	1725000000000000000000
846	1773994100000000000000
847	1786999700000000000000
848	1784999900000000000000
849	1813999900000000000000
850	1805010000000000000000
851	1775100000000000000000
852	1775009900000000000000
853	1745000000000000000000
854	1744298600000000000000
855	1765000000000000000000
856	1759000000000000000000
857	1745000000000000000000
858	1769000000000000000000
859	1747064800000000000000
860	1765000000000000000000
861	1775000000000000000000
862	1781723900000000000000
863	1782055200000000000000
864	1757984400000000000000
865	1764494900000000000000
866	1773000900000000000000
867	1776354600000000000000
868	1769000000000000000000
869	1754395900000000000000
870	1768981600000000000000
871	1798800000000000000000
872	1799000000000000000000
873	1786000000000000000000
874	1782370000000000000000
875	1784500000000000000000
876	1757111200000000000000
877	1747870000000000000000
878	1768810900000000000000
879	1770000000000000000000
880	1759630000000000000000
881	1756000000000000000000
882	1755264000000000000000
883	1794999800000000000000
884	1797185700000000000000
885	1779668300000000000000
886	1775000000000000000000
887	1770982400000000000000
888	1764448300000000000000
889	1758958600000000000000
890	1758960400000000000000
891	1766023000000000000000
892	1768414200000000000000
893	1747209500000000000000
894	1750000000000000000000
895	1745530000000000000000
896	1728000000000000000000
897	1665100000000000000000
898	1675000000000000000000
899	1705000000000000000000
900	1715923900000000000000
901	1713310000000000000000
902	1703199600000000000000
903	1693396100000000000000
904	1685000000000000000000
905	1685000200000000000000
906	1689000000000000000000
907	1676000000000000000000
908	1667168400000000000000
909	1660111700000000000000
910	1675000000000000000000
911	1651214600000000000000
912	1650170000000000000000
913	1621000000000000000000
914	1610000000000000000000
915	1608468800000000000000
916	1614968900000000000000
917	1596176800000000000000
918	1610999100000000000000
919	1596974900000000000000
920	1576933600000000000000
921	1581580100000000000000
922	1610000000000000000000
923	1591874900000000000000
924	1588000500000000000000
925	1585195900000000000000
926	1596410400000000000000
927	1649748300000000000000
928	1710000000000000000000
929	1706050000000000000000
930	1743843500000000000000
931	1741883400000000000000
932	1746304600000000000000
933	1800000000000000000000
934	1789000000000000000000
935	1761304400000000000000
936	1758626500000000000000
937	1769430200000000000000
938	1770762700000000000000
939	1765000000000000000000
940	1732000700000000000000
941	1743192800000000000000
942	1729774300000000000000
943	1748999900000000000000
944	1762924000000000000000
945	1779000000000000000000
946	1765000000000000000000
947	1766000500000000000000
948	1763988400000000000000
949	1743561000000000100000
950	1738899800000000000000
951	1743637400000000000000
952	1756676800000000000000
953	1742097800000000000000
954	1731324100000000000000
955	1730000000000000000000
956	1713823999999999800000
957	1714863500000000000000
958	1705137300000000000000
959	1708462000000000200000
960	1728206700000000000000
961	1731425100000000000000
962	1720100000000000000000
963	1723181200000000000000
964	1738670900000000000000
965	1729799600000000000000
966	1731000000000000000000
967	1724982600000000000000
968	1701000000000000000000
969	1677300200000000000000
970	1669050000000000000000
971	1710000000000000000000
972	1689999200000000000000
973	1709999900000000000000
974	1725889600000000000000
975	1735017100000000000000
976	1755981000000000000000
977	1735100000000000000000
978	1737070300000000000000
979	1745310900000000000000
980	1754000000000000000000
981	1758580800000000000000
982	1792856100000000000000
983	1802256600000000000000
984	1795559600000000000000
985	1805000000000000000000
986	1878000000000000000000
987	1895099900000000000000
988	1966800000000000000000
989	1915000400000000000000
990	1880000000000000000000
991	1906946200000000000000
992	1872500000000000000000
993	1849913700000000000000
994	1935000000000000000000
995	1893749600000000000000
996	1898999700000000000000
997	1873399900000000000000
998	1915000000000000000000
999	1913999800000000000000
1000	1963096000000000000000
1001	1966044800000000000000
1002	1981998400000000000000
1003	1951354600000000000000
1004	1935169800000000000000
1005	1955160000000000000000
1006	1951000400000000000000
1007	1942406800000000000000
1008	1954556900000000000000
1009	1953261600000000000000
1010	1933540000000000000000
1011	1940066700000000000000
1012	1933730300000000000000
1013	1912798400000000000000
1014	1935885500000000000000
1015	1925100000000000000000
1016	1888920000000000000000
1017	1904981200000000000000
1018	1871730000000000000000
1019	1869800000000000000000
1020	1875000000000000000000
1021	1882092999999999800000
1022	1895000000000000000000
1023	1901700000000000000000
1024	1892549800000000000000
1025	1875047100000000000000
1026	1869784100000000000000
1027	1856036600000000000000
1028	1864999800000000000000
1029	1864999900000000000000
1030	1878413200000000000000
1031	1867570000000000000000
1032	1872888100000000000000
1033	1883947100000000000000
1034	1875620000000000000000
1035	1892446000000000100000
